time,temp,rh,ha_rain_prob,pressure,ha_spread,ha_spread_trend,om_precip,om_rain,om_showers,om_temp,om_rh,om_dew_point,om_pressure,om_cloud,om_wind,yx_condition,yx_temp,yx_humidity,yx_feels_like,yx_prec_prob,yx_prec_strength,yx_pressure_mm,yx_wind_speed,yx_is_rain,ms_precip,ms_temp,ms_rhum,ms_pres,ms_dwpt,ms_wdir,ms_wspd,dew_point,spread,abs_humidity,humidex,spread_deriv,pressure_deriv,pressure_filled,rain_truth,rain_truth_window,front_truth,model_original,model_tuned,model_trend_dominant,model_ha_live,model_pressure_aware,model_pressure_absolute,model_pressure_long_window,model_pressure_lagged,model_pressure_combined,model_combined,model_pressure_primary,model_onset_gate
2026-08-08 00:00:00+00:00,15.62037222461111,79.93902542555556,,992.7724817860168,,-0.5427184396888889,0.0,0.0,0.0,15.7,79,12.1,991.2,35,12.2,clear,15.0,80.0,13.0,0.0,0.0,744.0,3.5,0.0,0.0,14.1,86.0,1018.6,11.8,340.0,4.0,12.167873149905182,3.452499074705928,10.622392044448505,17.928586502877742,,,992.7724817860168,0.0,0.0,0.0,,41.0,-0.0,50.0,41.0,41.0,41.0,41.0,41.0,41.0,35.0,46.0
2026-08-08 01:00:00+00:00,15.20949610011111,79.79830192055556,,993.0505471081945,,-0.0898230049583333,0.0,0.0,0.0,15.2,79,11.6,992.2,0,10.4,clear,14.0,82.0,12.0,0.0,0.0,744.0,2.7,0.0,0.0,12.0,100.0,1018.0,12.0,320.0,3.0,11.74116165728893,3.4683344428221794,10.342826799215784,17.29986880902815,0.015835368116251303,0.27806532217766744,993.0505471081945,0.0,0.0,0.0,40.0,40.0,0.0,41.0,40.0,40.0,40.0,40.0,40.0,40.0,35.0,46.0
2026-08-08 02:00:00+00:00,14.553224977222222,80.85134194638889,,993.160069522136,,-0.2224290689777777,0.0,0.0,0.0,14.8,79,11.2,991.9,0,9.7,clear,14.0,77.0,13.0,0.0,0.0,745.0,1.0,0.0,0.0,11.0,100.0,1019.0,11.0,320.0,3.0,11.300315719475494,3.252909257746728,10.068857267823592,16.42414156317672,-0.09979490847960017,0.19379386805962895,993.160069522136,0.0,0.0,0.0,44.0,44.0,3.0,46.0,44.0,44.0,42.0,44.0,43.0,43.0,39.0,47.0
2026-08-08 03:00:00+00:00,14.183401628194444,80.8942507525,,993.1644480156972,,-0.2488504706666666,0.0,0.0,0.0,14.1,81,10.9,992.0,0,10.8,clear,13.0,84.0,11.0,0.0,0.0,745.0,2.9,0.0,0.0,12.0,94.0,1019.3,11.1,350.0,4.0,10.947759033217407,3.235642594977037,9.848991901330447,15.882827488788337,-0.11634592392257126,0.05695045375136943,993.1644480156972,0.0,0.0,0.0,44.0,44.0,3.0,46.0,44.0,44.0,43.0,44.0,43.0,44.0,40.0,38.0
2026-08-08 04:00:00+00:00,18.335899845777774,67.36582350944444,,993.5354423301252,,2.606847107630556,0.0,0.0,0.0,14.1,79,10.5,992.3,0,9.4,clear,12.0,84.0,10.0,0.0,0.0,745.0,2.5,0.0,0.0,13.0,88.0,1019.0,11.1,330.0,2.0,12.18050094937937,6.155398896398404,10.532170161323325,20.650643215752904,1.4512448193258383,0.1876864039945758,993.5354423301252,0.0,0.0,0.0,2.0,32.0,2.0,0.0,32.0,32.0,30.0,32.0,31.0,32.0,6.0,58.0
2026-08-08 05:00:00+00:00,21.940833439722223,50.45337382138889,,993.5544155135776,,4.650668940180556,0.0,0.0,0.0,14.8,75,10.4,992.3,15,9.7,clear,12.0,81.0,10.0,0.0,0.0,745.0,2.0,0.0,0.0,15.0,82.0,1019.0,12.0,320.0,4.0,11.176384536282068,10.764448903440154,9.73655920117502,23.75106456460809,3.7644031542315592,0.19498374894021708,993.5544155135776,0.0,0.0,0.0,0.0,22.0,2.0,0.0,22.0,22.0,21.0,22.0,21.0,22.0,0.0,73.0
2026-08-08 06:00:00+00:00,23.3405799155,44.11324620194444,,993.5550118180804,,2.402397517925,0.0,0.0,0.0,15.9,69,10.3,992.4,13,9.4,clear,15.0,70.0,13.0,0.0,0.0,745.0,3.1,0.0,0.0,16.1,68.0,1019.4,10.2,350.0,11.0,10.432963833369623,12.907616082130378,9.223587349772508,24.79586882376821,3.3761085928659873,0.009784743977604649,993.5550118180804,0.0,0.0,0.0,0.0,15.0,1.0,0.0,15.0,15.0,15.0,15.0,15.0,16.0,0.0,79.0
2026-08-08 07:00:00+00:00,21.711686653305552,47.73739908777778,,993.6933409264084,,-1.4284946143833332,0.0,0.0,0.0,17.1,61,9.6,992.5,100,10.1,cloudy,16.0,65.0,13.0,0.0,0.0,745.0,4.0,0.0,0.0,18.0,60.0,1019.0,10.1,330.0,5.0,10.134263719757046,11.577422933548506,9.091558562514981,23.028665879120204,0.40648701505417595,0.06946270641537922,993.6933409264084,0.0,0.0,0.0,0.0,11.0,1.0,27.0,11.0,11.0,10.0,11.0,11.0,11.0,0.0,50.0
2026-08-08 08:00:00+00:00,20.47848096975,51.447363565277776,,993.9253205159388,,-1.2030763523527777,0.0,0.0,0.0,17.3,59,9.2,992.7,100,12.2,cloudy,17.0,86.0,18.0,0.0,0.0,745.0,1.0,0.0,0.0,18.0,64.0,1020.0,11.1,330.0,4.0,10.121831858271623,10.356649111478376,9.1221641598073,21.78975629323965,-1.275483485326001,0.18515434892918847,993.9253205159388,0.0,0.0,0.0,13.0,13.0,38.0,22.0,13.0,13.0,12.0,13.0,12.0,14.0,6.0,25.0
2026-08-08 09:00:00+00:00,20.365410614833333,51.65744978972222,,994.1324109113748,,-0.3456446009055556,0.0,0.0,0.0,18.1,56,9.2,992.7,100,11.9,cloudy,18.0,54.0,15.0,0.0,0.0,745.0,4.6,0.0,0.0,17.3,63.0,1019.9,10.2,300.0,7.0,10.07844351167747,10.286967103155863,9.09926397476611,21.656811487586374,-0.6452279151963217,0.2195349924832044,994.1324109113748,0.0,0.0,0.0,6.0,11.0,33.0,6.0,11.0,11.0,10.0,11.0,10.0,12.0,3.0,19.0
2026-08-08 10:00:00+00:00,19.89098776361111,51.66898900222222,,994.1037196818888,,0.0158768904361111,0.0,0.0,0.0,18.2,56,9.3,992.6,99,11.9,cloudy,19.0,55.0,17.0,0.0,0.0,745.0,4.7,0.0,0.0,18.0,56.0,1020.0,9.1,290.0,4.0,9.643642567900445,10.247345195710666,8.852571105781813,20.986007669440465,-0.05465195788385469,0.08919958297502717,994.1037196818888,0.0,0.0,0.0,1.0,8.0,23.0,0.0,8.0,8.0,7.0,8.0,7.0,8.0,0.0,23.0
2026-08-08 11:00:00+00:00,21.76504334519444,46.01597860583333,,993.7601502329112,,1.8405886168472223,0.0,0.0,0.0,19.6,50,8.9,992.7,7,13.0,cloudy,19.0,63.0,20.0,0.0,0.0,746.0,1.0,0.0,0.0,18.0,60.0,1020.0,10.1,270.0,5.0,9.634159670284934,12.130883674909505,8.790725543163468,22.855836179315602,0.921958285876821,-0.186130339231795,993.7601502329112,0.0,0.0,0.0,0.0,5.0,16.0,0.0,5.0,5.0,5.0,5.0,5.0,6.0,0.0,37.0
2026-08-08 12:00:00+00:00,20.607887686027777,49.41047359722222,,993.8203289376332,,-1.1653124932555556,0.0,0.0,0.0,20.4,45,8.1,992.2,97,12.6,cloudy,20.0,48.0,17.0,0.0,0.0,746.0,4.7,0.0,0.0,18.0,60.0,1019.5,10.1,320.0,11.0,9.637368224429954,10.970519461597823,8.827252454201554,21.700110491529625,0.36158713294357797,-0.14169537212779915,993.8203289376332,0.0,0.0,0.0,0.0,4.0,11.0,22.0,4.0,4.0,3.0,4.0,3.0,4.0,0.0,33.0
2026-08-08 13:00:00+00:00,20.29154841644445,50.99927713055556,,993.6812754716472,,-0.7572706863194445,0.0,0.0,0.0,20.2,46,8.2,992.1,24,13.3,cloudy,20.0,45.0,17.0,0.0,0.0,746.0,4.4,0.0,0.0,18.0,64.0,1020.0,11.1,330.0,5.0,9.818580099875266,10.472968316569183,8.944719622994795,21.46497455879413,-0.828957679170161,-0.03943738063202318,993.6812754716472,0.0,0.0,0.0,8.0,8.0,25.0,14.0,8.0,8.0,8.0,8.0,8.0,10.0,4.0,34.0
2026-08-08 14:00:00+00:00,20.156131196388888,51.21988487861111,,993.57562318385,,-0.1352851223833333,0.0,0.0,0.0,19.6,52,9.5,992.1,52,14.0,cloudy,19.0,65.0,19.0,0.0,0.0,746.0,2.0,0.0,0.0,20.0,49.0,1019.0,9.0,290.0,7.0,9.758131941570472,10.397999254818416,8.912694054098774,21.302373048318373,-0.2862601033897035,-0.12235287689162531,993.57562318385,0.0,0.0,0.0,3.0,7.0,20.0,3.0,7.0,7.0,7.0,7.0,7.0,8.0,1.0,24.0
2026-08-08 15:00:00+00:00,20.01664551330556,48.668251130555554,,993.6006709803444,,0.6610332459111111,0.0,0.0,0.0,19.3,53,9.5,992.2,22,13.3,cloudy,20.0,41.0,16.0,0.0,0.0,746.0,4.5,0.0,0.0,18.9,53.0,1019.3,9.1,330.0,11.0,8.869685839400248,11.146959673905311,8.399953807793297,20.77436668868742,0.33699567866806385,-0.04030224565138951,993.6006709803444,0.0,0.0,0.0,0.0,5.0,14.0,0.0,5.0,5.0,5.0,5.0,5.0,6.0,0.0,28.0
2026-08-08 16:00:00+00:00,19.48749700558333,47.5337154875,,993.7101681299,,0.3153700689166667,0.0,0.0,0.0,19.3,55,10.0,992.2,0,10.4,cloudy,20.0,43.0,16.0,0.0,0.0,746.0,4.2,0.0,0.0,19.0,52.0,1020.0,8.9,300.0,4.0,8.036563250756805,11.450933754826524,7.953737829269915,19.899089770807013,0.5264672500040541,0.06727247302501382,993.7101681299,0.0,0.0,0.0,0.0,3.0,10.0,0.0,3.0,3.0,3.0,3.0,3.0,4.0,0.0,27.0
